config_id,mods,density,n_vars,k,n_traj,traj_length,klPQ,errorPQ,klQP,errorQP,hellinger,bhattacharya,jensen-shannon,count,recall,precision,fscore,dist2opt,skeleton_count,skeleton_recall,skeleton_precision,skeleton_fscore,skeleton_dist2opt,hamming,structural hamming,learning_time,k_learning_time,BIC_Score
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.321813733967079,0,1.5624352443967584,0,0.6525472076905817,0.28007045234819955,0.27641886510499747,"{'tp': 3, 'tn': 40, 'fp': 2, 'fn': 11}",0.21428571428571427,0.6,0.3157894736842105,0.8816728070976841,"{'tp': 5, 'tn': 14, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,9,12,0.002126540999597637,5.1652089939998405,9286.129453673066
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,0.7673072512290997,0,1.0639302203145768,0,0.5330050599599239,0.1471897174922349,0.18936563927816216,"{'tp': 3, 'tn': 42, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,13,0.002881238000554731,5.136104035000244,9439.059716932195
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.1332937227631406,0,1.559648340883545,0,0.6363037663638965,0.22890326158092078,0.26489732213320494,"{'tp': 3, 'tn': 42, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,13,0.0025774590012588305,5.007577616001072,9134.648942233449
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.2737273075822888,0,1.0554647358896174,0,0.6027006009243704,0.25604369314167935,0.24125432971216954,"{'tp': 5, 'tn': 42, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,"{'tp': 5, 'tn': 14, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,9,14,0.002250929001093027,7.162076916998558,17119.508262817933
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.2684173662933345,0,1.2730065941565283,0,0.6074139102721837,0.2731068107423779,0.2405919811943379,"{'tp': 5, 'tn': 42, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,"{'tp': 5, 'tn': 14, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,9,11,0.0021752000011474593,7.135909268999967,17195.33270284255
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.4096982534069606,0,2.090892847655686,0,0.7167835792712985,0.27147261639964926,0.33073889775263626,"{'tp': 4, 'tn': 42, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,14,0.0023874300004536053,7.253256131998569,17291.55410716565
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.2304390153565752,0,1.042963547747314,0,0.5935642735645482,0.2630852927011669,0.2334110208020314,"{'tp': 5, 'tn': 42, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,"{'tp': 5, 'tn': 14, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,9,12,0.001962968999578152,7.05769225199947,17247.76232567623
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.0101266153554358,0,1.4625965080960703,0,0.608586563407743,0.1982187084610322,0.2423229928263474,"{'tp': 2, 'tn': 42, 'fp': 0, 'fn': 12}",0.14285714285714285,1.0,0.25,0.8571428571428572,"{'tp': 2, 'tn': 14, 'fp': 0, 'fn': 12}",0.14285714285714285,1.0,0.25,0.8571428571428572,12,14,0.002125267999872449,6.433159870000964,17218.90338113945
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.6734344329576354,0,1.3178014862228005,0,0.6639902429616913,0.326997772413373,0.28421824874146623,"{'tp': 4, 'tn': 42, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,12,0.0024391940005443757,7.111227394998423,16293.694660602854
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.2887134688570423,0,0.8552164859448781,0,0.5741170674430814,0.29153911066030647,0.21759232403182532,"{'tp': 4, 'tn': 42, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,11,0.002321207999557373,6.714678930999071,17059.854229567674
