config_id,mods,density,n_vars,k,n_traj,traj_length,do_learner,do_KLearner,klPQ,errorPQ,klQP,errorQP,hellinger,bhattacharya,jensen-shannon,count,recall,precision,fscore,dist2opt,skeleton_count,skeleton_recall,skeleton_precision,skeleton_fscore,skeleton_dist2opt,hamming,structural hamming,learning_time
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,4.017281352122435,0,2.1805319509072802,0,0.8006725833902194,0.4039817249769287,0.373165173100483,"{'tp': 9, 'tn': 40, 'fp': 2, 'fn': 5}",0.6428571428571429,0.8181818181818182,0.7200000000000001,0.40076036686258365,"{'tp': 10, 'tn': 13, 'fp': 1, 'fn': 4}",0.7142857142857143,0.9090909090909091,0.8,0.2998284774185765,5,10,0.011812209995696321
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,1.0313109176815,0,1.259565899837289,0,0.5534152835318558,0.07438292570664776,0.19772276480507048,"{'tp': 11, 'tn': 40, 'fp': 2, 'fn': 3}",0.7857142857142857,0.8461538461538461,0.8148148148148148,0.2637934919595122,"{'tp': 13, 'tn': 14, 'fp': 0, 'fn': 1}",0.9285714285714286,1.0,0.962962962962963,0.0714285714285714,1,5,0.020120974993915297
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,1.7900587110227653,0,0.7905355295437185,0,0.5578015767509342,0.27353360825854695,0.19414467412664946,"{'tp': 8, 'tn': 39, 'fp': 3, 'fn': 6}",0.5714285714285714,0.7272727272727273,0.64,0.5079897978079986,"{'tp': 11, 'tn': 14, 'fp': 0, 'fn': 3}",0.7857142857142857,1.0,0.88,0.2142857142857143,3,4,0.012647244991967455
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,0.7227062291785663,0,0.8666613260431515,0,0.501914551854689,0.13643339640047747,0.1697614964150426,"{'tp': 5, 'tn': 38, 'fp': 4, 'fn': 9}",0.35714285714285715,0.5555555555555556,0.43478260869565216,0.7815344972040452,"{'tp': 9, 'tn': 14, 'fp': 0, 'fn': 5}",0.6428571428571429,1.0,0.782608695652174,0.3571428571428571,5,9,0.013260719002573751
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,0.5637704727600714,0,0.8019705472980247,0,0.465245756320817,0.10976826555177895,0.14616271842148792,"{'tp': 3, 'tn': 40, 'fp': 2, 'fn': 11}",0.21428571428571427,0.6,0.3157894736842105,0.8816728070976841,"{'tp': 5, 'tn': 14, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,9,12,0.006584886999917217
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,0.8406946903804613,0,1.8630044977448426,0,0.6337273711404274,0.13221052217492416,0.26252953651802663,"{'tp': 4, 'tn': 38, 'fp': 4, 'fn': 10}",0.2857142857142857,0.5,0.36363636363636365,0.8718968296952645,"{'tp': 8, 'tn': 14, 'fp': 0, 'fn': 6}",0.5714285714285714,1.0,0.7272727272727273,0.4285714285714286,6,13,0.010449774010339752
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,2.579045851567947,0,0.8557022955113626,0,0.6024110614818714,0.2705835562567333,0.22293159626619713,"{'tp': 7, 'tn': 39, 'fp': 3, 'fn': 7}",0.5,0.7,0.5833333333333334,0.5830951894845301,"{'tp': 10, 'tn': 14, 'fp': 0, 'fn': 4}",0.7142857142857143,1.0,0.8333333333333333,0.2857142857142857,4,10,0.019078645011177287
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,1.4863146239035803,0,1.1149561234435046,0,0.6256659870223107,0.31354074730761744,0.2553623638298978,"{'tp': 6, 'tn': 41, 'fp': 1, 'fn': 8}",0.42857142857142855,0.8571428571428571,0.5714285714285714,0.5890150893739515,"{'tp': 6, 'tn': 13, 'fp': 1, 'fn': 8}",0.42857142857142855,0.8571428571428571,0.5714285714285714,0.5890150893739515,9,10,0.008685950000653975
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,0.5826241936655414,0,0.34790606687887843,0,0.38689147340694585,0.13536380208006588,0.10200735378562803,"{'tp': 6, 'tn': 40, 'fp': 2, 'fn': 8}",0.42857142857142855,0.75,0.5454545454545454,0.6237231855918921,"{'tp': 8, 'tn': 14, 'fp': 0, 'fn': 6}",0.5714285714285714,1.0,0.7272727272727273,0.4285714285714286,6,14,0.01232671900652349
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,0.6671262114107921,0,0.9806387058479082,0,0.5091857588979599,0.1235697822293525,0.17412219547625557,"{'tp': 7, 'tn': 40, 'fp': 2, 'fn': 7}",0.5,0.7777777777777778,0.6086956521739131,0.5471587667664503,"{'tp': 9, 'tn': 14, 'fp': 0, 'fn': 5}",0.6428571428571429,1.0,0.782608695652174,0.3571428571428571,5,7,0.014082414985750802
