config_id,mods,density,n_vars,k,n_traj,traj_length,do_proba_learner,do_skeleton_learner,do_KLearner,klPQ,errorPQ,klQP,errorQP,hellinger,bhattacharya,jensen-shannon,learning_time
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.0012440413611591243,0,0.0012498842776542765,0,0.020787278639516137,0.00021607881996514738,0.0003116636387952383,0.004073330000210262
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.0013768848990908585,0,0.001362387820495339,0,0.02178595777293356,0.00023734214146005442,0.0003423343255241566,0.003930650000256719
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.0006459619600193151,0,0.0006579436520580349,0,0.015030748462462384,0.00011296808032421307,0.00016295037415693897,0.003958073999456246
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.004126153187575903,0,0.004190987187443111,0,0.037958489018679854,0.0007206830739635848,0.0010390606312524289,0.0037873519995628158
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.003043324750866089,0,0.0028510148985890775,0,0.031929850590616746,0.0005098876499863994,0.0007340714741192063,0.0035275599993838114
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.0018905786566561025,0,0.0019144837458127375,0,0.025676123971753024,0.00032968601156785154,0.0004754831933459318,0.0035056389997407678
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.0008976225717876435,0,0.0008978884638331966,0,0.017638529955004402,0.00015557097002288944,0.0002244091430098254,0.004824446999919019
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.008015420410302171,0,0.007927102346689086,0,0.05254922671378629,0.001381664673295665,0.00199107525200625,0.003411132999644906
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.002391902693509102,0,0.0022966892946488155,0,0.028496017487663474,0.0004060939513163742,0.0005854283787692155,0.0035981789997094893
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.005047173816545484,0,0.005001900454793764,0,0.041724337193154964,0.000870839227539338,0.0012554830729387444,0.0033110750000560074
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.019275417880559694,0,0.014318139319472368,0,0.0754095456200012,0.0028473496405989813,0.004011324980533757,0.004422650999913458
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.019599166666623126,0,0.01932626847526024,0,0.08207942594876128,0.0033742023053503537,0.004853825431106884,0.0037843380005142535
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.006336386159156858,0,0.006295021967742888,0,0.04677482029952633,0.001094540698209261,0.0015775239447816652,0.0030838669999866397
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.0026285831607037098,0,0.0028046742698836996,0,0.030667218343627577,0.0004703497375655385,0.0006776687010099673,0.004850559000260546
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.007244147680489575,0,0.006860804483345307,0,0.04941698827972445,0.0012217654168217842,0.0017600023413732267,0.003266456000346807
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.0034935248388529255,0,0.003318728364880904,0,0.034344087293214566,0.0005899321417547789,0.0008501528199983924,0.0036396779996721307
"(2, 0.1, 3, 2, 500, 50, True, False, False)",2,0.1,3,2,500,50,True,False,False,0.0032970333150492232,0,0.0028920488033915143,0,0.032687910584458524,0.000534392511435457,0.0007679129490249159,0.0034759070003929082
"(2, 0.1, 3, 2, 500, 50, True, False, False)",2,0.1,3,2,500,50,True,False,False,0.012054178655646104,0,0.011996287328116964,0,0.06453016092725156,0.0020842413574399844,0.003001285969827525,0.0037998049992893357
"(2, 0.1, 3, 2, 500, 50, True, False, False)",2,0.1,3,2,500,50,True,False,False,0.004208645323277024,0,0.004173273393013073,0,0.038106158149102703,0.0007263033388674032,0.0010471680462167026,0.004479662999983702
